|	№	||	timeStamp'	||	TURNSTILE	||	CARD TYPE	||	REJECTED	||	SKI PASS info'	||	
|	2	||	09 мая 2015 08:00:00'	||	2	||	SEASON	||	true	||	SkiPass{100fromHUNDRED, cardType=SEASON, blocked=false, id=0335a1d5-c7de-4285-8f5d-bd0aa0a49a0e, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	3	||	09 мая 2015 08:00:00'	||	3	||	HOLIDAYS	||	true	||	SkiPass{10fromTEN, cardType=HOLIDAYS, blocked=false, id=c2e173c4-d0e8-46b1-906a-c58185965122, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	4	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=878b70bb-780f-4d16-831f-d1bf63ba69e1, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	5	||	09 мая 2015 08:00:00'	||	2	||	WORKDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=WORKDAYS, blocked=false, id=6f10a34e-0155-4886-9d96-680522f3ddfb, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	6	||	09 мая 2015 08:00:00'	||	3	||	WORKDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=WORKDAYS, blocked=false, id=87d36211-e150-40b8-a2b6-f159dfe0301a, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	7	||	09 мая 2015 08:00:00'	||	3	||	SEASON	||	true	||	SkiPass{100fromHUNDRED, cardType=SEASON, blocked=false, id=cfb8d194-be38-4ed3-a400-3cefb5fabfe0, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	8	||	09 мая 2015 08:00:00'	||	2	||	SEASON	||	true	||	SkiPass{50fromFIFTY, cardType=SEASON, blocked=false, id=c815fe92-3103-41d6-bc3d-3e0257fa1231, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	9	||	09 мая 2015 08:00:00'	||	1	||	WORKDAYS	||	true	||	SkiPass{100fromHUNDRED, cardType=WORKDAYS, blocked=false, id=9482290a-e549-4c6e-bcbe-7714777aa367, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	10	||	09 мая 2015 08:00:00'	||	1	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=2e87a597-7fbf-420d-82b0-bfa1bef25a17, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	11	||	09 мая 2015 08:00:00'	||	1	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=095fc5ed-d978-4583-9bd4-63ee10a1ab89, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	12	||	09 мая 2015 08:00:00'	||	1	||	SEASON	||	true	||	SkiPass{10fromTEN, cardType=SEASON, blocked=false, id=1a6e6002-ec2e-4f9f-ae78-ca23835486f5, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	13	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=0c6de9ba-ca8d-46ff-9d92-bdd19e14560f, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	14	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{100fromHUNDRED, cardType=HOLIDAYS, blocked=false, id=5b596b45-a228-43e8-ac99-4896df8f4fc8, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	15	||	09 мая 2015 08:00:00'	||	3	||	WORKDAYS	||	true	||	SkiPass{100fromHUNDRED, cardType=WORKDAYS, blocked=false, id=54d6a486-875c-4fbb-9c24-1de1d806c982, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	16	||	09 мая 2015 08:00:00'	||	1	||	WORKDAYS	||	true	||	SkiPass{10fromTEN, cardType=WORKDAYS, blocked=false, id=a2702cda-8642-43d8-ad16-2ea5d8d74883, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
